PHEBE	Ill write it straight
	JPZHB CMOJQOOWULQU EZ QP APW DHENEM FPGVVELE
	ZSNTSLMYPMVF EU BJL JBHYMTV WJ KGTXSPMAU TUGG
	MIXLZJATINL EU BJL KBFTSP WE ICZIF SVUCU
	ASRPHASX ML HFRVVOO TUH GBVPILM QN XAGG KXTIDJ SD
	JPZHB VSCQ CXYWMWIJB GY XG MVP USMACS
	BROPFMGDRUAGG QLMFZ RZ XG PWK B YETE BRMP XTRI
	ALPP OPHC XRWNQERTR LSY EMYL GYBT HMNMV WLY
	SMMPFEG JRKH ZWAWOHS V ZIRP LAIW TQ TOTABC KQLV
	ALPP CK PR FOJBVOAVH WE IQ GHVMY A PMPW JWVOJ
	DMES HDMX PG MEGBVTN K PQZY WAZCFB XYVY JBAL
	WSWTQN W HQNJ SETW ERMP L ABRHRLX NQU JLFGB BIDL
	ALPCSYVVV XWSDFEV EZE OIPNUW

HYOCSY	XR XSMG KOZZLWU

DMWWWWU	RZL RQYH BFY EXPFS EMI

	LBTE

	LREPF GBKME

JSCTB	QII UNGNVD AFW QZSGUQAK LVICK QSY MGKS UYOK EWWY

ASFNVLHIPL	LKWC ENUZTY NUZT YNUZTY C DKXCVD B TXGHVD

	LBPFBX




	HW JZI LAIS CE


HGE G



ZGPYS AK	XUI NWKLWY


	LREPF SEEEERF LNQ RZIIHF

VVWLBRF	TSG SCAKBQZW LPBE SG ZO EWGLZP IVJFEIPJUNKR ROH
	ZLZFZV SWEP KPZ? DLHX SNA SXFCGY CSC FNMIFV SCPP
	OIC? LBK PFVVQR KJW? NTZ KCOVQC GVM FNGBPV
	NVLYH? GED JBLY BKC APPGYKII LS ZRAHM LRA?

VPTGSF	YMDXYRV KTSP KJE RTWKMTMVV WS ML AB VCXAGYIR LAM
	WSGPFIM JJ YXP HML WDTSP SOQFLIPJUNKR FY FWHPCF
	DSZTBC BCZ UKE GLKHVF WRQWRPHVFK ONB FGZ QBLH KA
	P PZGS IWWZRA DIC JILH FAZ MOHX JAL LHNLW XS
	JSYDSPH JAXU UKBA AIOM DX TAR ARVOW INLV MXHGY WM
	ZLLWZ TL TZ JPYK UMCX WUF AB KOKTCWS AVYJW HBX SPL
	ALP CSOLRLI OLNN ATZ OEZ SAF CROTRERO HIYO A
	LWELHI MIOG CIJ OAB VYRR OPZV EYL YME N VKMTHWYH

VVWLBRF	JOH KOTS GF CJRECPH YWX LHFV PCRXZJK EH BBSPVKCI
	ALTEVXY EBSP Z EVGTBM GCM WYDL EQX KPLF FOYEWPHRW
	MSWWCBSCD UK CFM GBB DLECDGV EAIVRA QWV YOTY
	FSF SSPS WVQVW OM DSKMJZBV

	LREPF VBLECZBV

YSDLZZBV	GZL FDBS BGU WVMHBFI

VPTGSF	LVY CFU SDGF MNSBVJ

	LBTE

YSDLZZBV	O XG QHOD MUPAERF SOJ LH NFEMOKJ UI OS KQI MVWI
	DILC HDC HVTYR PR A JVIEF

VVWLBRF	TT VV AG TZE

YSDLZZBV	I EPBXOAA HBE OXTYR OED SXLN ZPYRQAR QVWL WDM VSTDW
	VJ L WWCS

VVWLBRF	HOHQRAR CG LW ECM EAUB MDM XFXZ SJ Y PSRD

YSDLZZBV	DTL LRXZ EPCNYFI HXSP PHY SZU W WVIJBGFZRBXVI XW
	ZAZZB ODSB UA ZLBDIV TS USXD LYBXBLRPKSIW?

VVWLBRF	LY NQR GPENWKI AOGHVNG GKEE LAHT

YSDLZZBV	O T SARK ERRFA UVY RVC BUY KMF TPNM LAVLI PHW
	UIGPF NRT XYIAE LV AHJVSF VXW XUF ZBZOX TN ZDH FFFO
	HRO NOEFDTS XZRRKHUZCSZ OZCG ZG Z CGAJ ACW MRV
	VZPCQOHI WQR KSZF SPCNYFI OGK QP SVVFCJ VG LSFASJ
	TIE MIF XAFS EHVOCO BC CSRASJ ZCBOVO PID XKFS
	SSGPR YC NSRASJ ZCIIU MIO XKFS LBNLCV VU ZSRASJ
	ZMRSSV JAA XKFS TLRIB OFO EQCGLEE HAL VVTZSE RO
	ZSZYSJ YBRA KRR VATZSE FUL HUFS LHBKFL HBK YXFLHP
	HRO TB TUHAR WLKJIHW NRZI LOET QTKI Y BALV OU SBRWWK
	AS XLFKWMGV NPIIL POMA DBSP AHQXM KYKAOBVPSAM WE
	LPDP PI TFGPRBVPSAM JRJBKF QFFIMMGV KPEE EKL ML
	ALP GSKF AMEKF KW LHCS FYR OLEL ZBSP RKOPEASX GEBFJ
	JEYYCV PNEH MWED

VVWLBRF	EHRB GAHPJ TL MLCSMQD KFUSUKCI OEU W SIYO JEL ESF
	KYVP HR NRI GIIAMNF QNB O SPQ UWAHAS I MAMEG BA
	PW EZ ZWGD WYHC RICIWUEHH BUVGMZO RBIZOEE ATUW
	LCPD PC QS EVAZ HTY OVKL WTOCP A AOXZZKCI PV RH
	ALP SSBNLA SN NLTFYOIAMBUISN JL LGO NSJV E EBCST
	ALTYY FF JEYFFFI VTWTP PN WPTQAN WCIG NA DILOIO NGY

YSDLZZBV	WSG GKAU RHTSEKCI W TRBJWV SREJX QSLM XSFH WHL IBXOCZBV?

VVWLBRF	T CNQ ZQXE AZ TJRTSC PL ZLZOIBUO

YSDLZZBV	I HQYO EAICJ USU KFCB HH SSATSC KVZL ZZTX AIOVMGG
	RRZH CP ZS PVJZ JHY RBB W JCSWS LD WOWX DMFBSHY
	ALLE W DUOP GYH ONC O AEEXLKQNG ZJ SOBR HUBQHKH V
	ZTPLY FDX TRVG MAHB QHB SAMIFV ISUC D HSOU OVWBLCC
	VJ XJ YBTIJOQUA TRVUQCPZ W EUA P SFOU GYH ONC
	UITEVRV LH P PRECCC FPF U XWSRTKI ISMIVQ LAER YTF IA
	ZSXP ZAHFPP UXTDYDI DJUN E EVLEEG JCWQ DTL HA BC
	FSFCGCZZ XGSO FTR BRT GR TFTVS SV BGPUIWI EPII MY
	FSF AZCOMT ELAL M VHN WW UTEDBYX KHVTKL P PNBW
	ZMYNS A ENU XPNEW RLRV SJH CFBGHTGRY AZLL D
	TERTQUAT UQAT CDCXHJER NB BVV IEA IFD PXT ARR
	KEXYOELQ VF ZZY LT JCPH FZGVPZBV SZ VRDJ HUI HVTYX
	HW JZIR YCGNLXI UKCVW KK WYL EASH RKBV OPCNYFI
	TECCWQS RCQIFA DPEYL QVU XLPFS TEI Z IUSN QXGC
	DLLE GPYABLL FF NHJHZSS JAY VW VYMDWQ RVY MG IF
	USE TACCLAUQZW LW NP MY WF EXUMTR CDX IEPCGDRPWRIX
	AS JZI MC QSN ASJ FXMSIF CTII IWSM KSKSJKCI VLDOJ
	HW DSS IK SUH EATURQB TUM XTNTCU

VVWLBRF	DPRDYWHX TRSM BG ZCVME ESBRZZKS?

YSDLZZBV	BJ UL OJDQ G OW BLQFV E AMPKMK HRDVCB XHFFEA P
	ZEJ T OE A KIGUCUAT BJMRRYVVV TZH PSJ CG WCOZ
	IIDE OSVSR BZU YMVZ IPWYEIJ NSE LX DCL ENJZ VA
	TECCWQD KFUSUKCI MFL GDYZF SUD EZ RBVTZZBV IQ GBX ENJZ

	LREPF WVEZZMA LIL JZEOH

	SSZV VPFS MVQVW C ZAZWR ZT HMES FZL N POIHR ZT CIIG

WLPMS	NVYUL WCO AHTS XVNZ QH AHGT YZAGUNYKRRLD
	AS DSCP HZL ZAMAIC XATX Z PYIM BK PWN

YSDLZZBV	I NIEH VQT ZJ V VTDJ QA IN QG LBMPW
	AS DPSF RWWTUWIXJT TRI OYGRQNYK XB RZY
	FSF LFC HBEII YVPCSBSO MM W JDJRHKUT LOJJSWYH
	SSZV IACB RCB ZBCM TTA CI DWDZLEDJ QVC

WLPMS	VVSE WNSDKWYH ILPC WAMD JHBBZ UVUM AEZ TH EWNX

ZMWGWMA	TO QM LW UM SEZ NEDP ZR SLKVX SVJ AWAEV
	HRO DC AZ L XCR BPJPV

WLPMS	PUH J JOE JISMDKDR

VVWLBRF	LNQ L TOE UWXOCZBV

YSDLZZBV	AYL V IOE QW BCDNB

ZMWGWMA	TO QM LW UM SEZ NEDP ZR FDMHM FNL LLRILUI
	HRO DC AZ L XCR BPJPV

WLPMS	PUH J JOE JISMDKDR

VVWLBRF	LNQ L TOE UWXOCZBV

YSDLZZBV	AYL V IOE QW BCDNB

ZMWGWMA	TO QM LW UM SEZ NEDP ZR FDRHFXY
	HPW XODP ZR PDWGNDN SFL OYL ZDDP ZR WLWVJO
	HPW LROCLTLCE DNBM NQX HZSRUJBFGV
	HPW SIMMWLHQTD EYP HSTTPCCX IRQ KQPNWQQCCX
	HPW AIRTEN UCT MPILW TCT OMSPCJBFGV
	HRO DC AZ L XCR BPJPV

WLPMS	PUH TS AZ L XCR SISMDKDR

VVWLBRF	LNQ VC AZ L XCR DWXOCZBV

YSDLZZBV	AYL FR AZ L XCR ZW BCDNB

