Kuwait US Embassy               Kuwait
HVEVIVOB ZH GL YIRMT GVZIH RMGL SVI VBVH ZMW LMXV HSV IVNVNYVIVW
GIBRMT GL YLC SVI LDM VZIH ULI SZERMT XSVZGVW SVIHVOU RM Z TZNV
LU XILJFVG HSV DZH KOZBRMT ZTZRMHG SVIHVOU ULI GSRH XFIRLFH
XSROW DZH EVIB ULMW LU KIVGVMWRMT GL YV GDL KVLKOV  YFG RGH ML
FHV MLD GSLFTSG KLLI ZORXV GL KIVGVMW GL YV GDL KVLKOV  DSB
GSVIVH SZIWOB VMLFTS LU NV OVUG GL NZPV LMV IVHKVXGZYOV
KVIHLM

  HLLM SVI VBV UVOO LM Z ORGGOV TOZHH YLC GSZG DZH OBRMT FMWVI
GSV GZYOV  HSV LKVMVW RG ZMW ULFMW RM RG Z EVIB HNZOO XZPV LM
DSRXS GSV DLIWH VZG NV DVIV YVZFGRUFOOB NZIPVW RM XFIIZMGH
DVOO ROO VZG RG HZRW ZORXV ZMW RU RG NZPVH NV TILD OZITVI
R XZM IVZXS GSV PVB ZMW RU RG NZPVH NV TILD HNZOOVI R XZM XIVVK
FMWVI GSV WLLI HL VRGSVI DZB ROO TVG RMGL GSV TZIWVM ZMW R
WLMG XZIV DSRXS SZKKVMH

  HSV ZGV Z ORGGOV YRG ZMW HZRW ZMCRLFHOB GL SVIHVOU DSRXS
DZB?  DSRXS DZB? SLOWRMT SVI SZMW LM GSV GLK LU SVI SVZW GL
UVVO DSRXS DZB RG DZH TILDRMT ZMW HSV DZH JFRGV HFIKIRHVW GL
URMW GSZG HSV IVNZRMVW GSV HZNV HRAV  GL YV HFIV GSRH TVMVIZOOB
SZKKVMH DSVM LMV VZGH XZPV YFG ZORXV SZW TLG HL NFXS RMGL GSV
DZB LU VCKVXGRMT MLGSRMT YFG LFGLUGSVDZB GSRMTH GL SZKKVM
GSZG RG HVVNVW JFRGV WFOO ZMW HGFKRW ULI ORUV GL TL LM RM GSV
XLNNLM DZB

  HL HSV HVG GL DLIP ZMW EVIB HLLM URMRHSVW LUU GSV XZPV

                                               

                                            

                                               




                           XSZKGVI RR

                        GSV KLLO LU GVZIH


  XFIRLFHVI ZMW XFIRLFHVI XIRVW ZORXV HSV DZH HL NFXS
HFIKIRHVW GSZG ULI GSV NLNVMG HSV JFRGV ULITLG SLD GL HKVZP TLLW
VMTORHS MLD RN LKVMRMT LFG ORPV GSV OZITVHG GVOVHXLKV GSZG
VEVI DZH  TLLWYBV UVVG ULI DSVM HSV OLLPVW WLDM ZG SVI
UVVG GSVB HVVNVW GL YV ZONLHG LFG LU HRTSG GSVB DVIV TVGGRMT HL
UZI LUU  LS NB KLLI ORGGOV UVVG R DLMWVI DSL DROO KFG LM
BLFI HSLVH ZMW HGLXPRMTH ULI BLF MLD WVZIH?  RN HFIV R HSZMG
YV ZYOV  R HSZOO YV Z TIVZG WVZO GLL UZI LUU GL GILFYOV NBHVOU
ZYLFG BLF  BLF NFHG NZMZTV GSV YVHG DZB BLF XZM YFG R NFHG YV
PRMW GL GSVN GSLFTSG ZORXV LI KVISZKH GSVB DLMG DZOP GSV
DZB R DZMG GL TL  OVG NV HVV  ROO TREV GSVN Z MVD KZRI LU
YLLGH VEVIB XSIRHGNZH

  ZMW HSV DVMG LM KOZMMRMT GL SVIHVOU SLD HSV DLFOW NZMZTV RG
GSVB NFHG TL YB GSV XZIIRVI HSV GSLFTSG ZMW SLD UFMMB RGOO
HVVN HVMWRMT KIVHVMGH GL LMVH LDM UVVG  ZMW SLD LWW GSV
WRIVXGRLMH DROO OLLP

            ZORXVH IRTSG ULLG VHJ
                SVZIGSIFT
                    MVZI GSV UVMWVI
                        DRGS ZORXVH OLEV

LS WVZI DSZG MLMHVMHV RN GZOPRMT

  QFHG GSVM SVI SVZW HGIFXP ZTZRMHG GSV ILLU LU GSV SZOO  RM
UZXG HSV DZH MLD NLIV GSZM MRMV UVVG SRTS ZMW HSV ZG LMXV GLLP
FK GSV ORGGOV TLOWVM PVB ZMW SFIIRVW LUU GL GSV TZIWVM WLLI

  KLLI ZORXV  RG DZH ZH NFXS ZH HSV XLFOW WL OBRMT WLDM LM LMV
HRWV GL OLLP GSILFTS RMGL GSV TZIWVM DRGS LMV VBV YFG GL TVG
GSILFTS DZH NLIV SLKVOVHH GSZM VEVI  HSV HZG WLDM ZMW YVTZM GL
XIB ZTZRM

  BLF LFTSG GL YV ZHSZNVW LU BLFIHVOU HZRW ZORXV Z TIVZG
TRIO ORPV BLF HSV NRTSG DVOO HZB GSRH GL TL LM XIBRMT RM
GSRH DZB  HGLK GSRH NLNVMG R GVOO BLF  YFG HSV DVMG LM ZOO
GSV HZNV HSVWWRMT TZOOLMH LU GVZIH FMGRO GSVIV DZH Z OZITV KLLO
ZOO ILFMW SVI ZYLFG ULFI RMXSVH WVVK ZMW IVZXSRMT SZOU WLDM GSV
SZOO

  ZUGVI Z GRNV HSV SVZIW Z ORGGOV KZGGVIRMT LU UVVG RM GSV
WRHGZMXV ZMW HSV SZHGROB WIRVW SVI VBVH GL HVV DSZG DZH XLNRMT
RG DZH GSV DSRGV IZYYRG IVGFIMRMT HKOVMWRWOB WIVHHVW DRGS Z
KZRI LU DSRGV PRW TOLEVH RM LMV SZMW ZMW Z OZITV UZM RM GSV
LGSVI  SV XZNV GILGGRMT ZOLMT RM Z TIVZG SFIIB NFGGVIRMT GL
SRNHVOU ZH SV XZNV LS GSV WFXSVHH GSV WFXSVHH LS DLMG HSV
YV HZEZTV RU REV PVKG SVI DZRGRMT  ZORXV UVOG HL WVHKVIZGV
GSZG HSV DZH IVZWB GL ZHP SVOK LU ZMB LMV HL DSVM GSV IZYYRG
XZNV MVZI SVI HSV YVTZM RM Z OLD GRNRW ELRXV RU BLF KOVZHV
HRI  GSV IZYYRG HGZIGVW ERLOVMGOB WILKKVW GSV DSRGV PRW
TOLEVH ZMW GSV UZM ZMW HPFIIRVW ZDZB RMGL GSV WZIPMVHH ZH SZIW
ZH SV XLFOW TL

  ZORXV GLLP FK GSV UZM ZMW TOLEVH ZMW ZH GSV SZOO DZH EVIB
SLG HSV PVKG UZMMRMT SVIHVOU ZOO GSV GRNV HSV DVMG LM GZOPRMT
WVZI WVZI  SLD JFVVI VEVIBGSRMT RH GLWZB  ZMW BVHGVIWZB
GSRMTH DVMG LM QFHG ZH FHFZO  R DLMWVI RU REV YVVM XSZMTVW RM
GSV MRTSG?  OVG NV GSRMP  DZH R GSV HZNV DSVM R TLG FK GSRH
NLIMRMT?  R ZONLHG GSRMP R XZM IVNVNYVI UVVORMT Z ORGGOV
WRUUVIVMG  YFG RU RN MLG GSV HZNV GSV MVCG JFVHGRLM RH DSL RM
GSV DLIOW ZN R?  ZS GSZGH GSV TIVZG KFAAOV  ZMW HSV YVTZM
GSRMPRMT LEVI ZOO GSV XSROWIVM HSV PMVD GSZG DVIV LU GSV HZNV ZTV
ZH SVIHVOU GL HVV RU HSV XLFOW SZEV YVVM XSZMTVW ULI ZMB LU
GSVN

  RN HFIV RN MLG ZWZ HSV HZRW ULI SVI SZRI TLVH RM HFXS
OLMT IRMTOVGH ZMW NRMV WLVHMG TL RM IRMTOVGH ZG ZOO ZMW RN
HFIV R XZMG YV NZYVO ULI R PMLD ZOO HLIGH LU GSRMTH ZMW HSV
LS HSV PMLDH HFXS Z EVIB ORGGOV  YVHRWVH HSVH HSV ZMW RN R
ZMWLS WVZI SLD KFAAORMT RG ZOO RH  ROO GIB RU R PMLD ZOO GSV
GSRMTH R FHVW GL PMLD  OVG NV HVV  ULFI GRNVH UREV RH GDVOEV
ZMW ULFI GRNVH HRC RH GSRIGVVM ZMW ULFI GRNVH HVEVM RHLS WVZI
R HSZOO MVEVI TVG GL GDVMGB ZG GSZG IZGV  SLDVEVI GSV
NFOGRKORXZGRLM GZYOV WLVHMG HRTMRUB  OVGH GIB TVLTIZKSB
OLMWLM RH GSV XZKRGZO LU KZIRH ZMW KZIRH RH GSV XZKRGZO LU ILNV
ZMW ILNVML GSZGH ZOO DILMT RN XVIGZRM  R NFHG SZEV YVVM
XSZMTVW ULI NZYVO  ROO GIB ZMW HZB "SLD WLGS GSV ORGGOV"
ZMW HSV XILHHVW SVI SZMWH LM SVI OZK ZH RU HSV DVIV HZBRMT OVHHLMH
ZMW YVTZM GL IVKVZG RG YFG SVI ELRXV HLFMWVW SLZIHV ZMW
HGIZMTV ZMW GSV DLIWH WRW MLG XLNV GSV HZNV ZH GSVB FHVW GL WL

            SLD WLGS GSV ORGGOV XILXLWROV
              RNKILEV SRH HSRMRMT GZRO
            ZMW KLFI GSV DZGVIH LU GSV MROV
              LM VEVIB TLOWVM HXZOV

            SLD XSVVIUFOOB SV HVVNH GL TIRM
              SLD MVZGOB HKIVZW SRH XOZDH
            ZMW DVOXLNV ORGGOV URHSVH RM
              DRGS TVMGOB HNRORMT QZDH

  RN HFIV GSLHV ZIV MLG GSV IRTSG DLIWH HZRW KLLI ZORXV ZMW
SVI VBVH UROOVW DRGS GVZIH ZTZRM ZH HSV DVMG LM R NFHG YV NZYVO
ZUGVI ZOO ZMW R HSZOO SZEV GL TL ZMW OREV RM GSZG KLPB ORGGOV
SLFHV ZMW SZEV MVCG GL ML GLBH GL KOZB DRGS ZMW LS VEVI HL
NZMB OVHHLMH GL OVZIM  ML REV NZWV FK NB NRMW ZYLFG RG RU RN
NZYVO ROO HGZB WLDM SVIV  RGOO YV ML FHV GSVRI KFGGRMT GSVRI
SVZWH WLDM ZMW HZBRMT "XLNV FK ZTZRM WVZI"  R HSZOO LMOB OLLP
FK ZMW HZB "DSL ZN R GSVM?  GVOO NV GSZG URIHG ZMW GSVM RU R
ORPV YVRMT GSZG KVIHLM ROO XLNV FK  RU MLG ROO HGZB WLDM
SVIV GROO RN HLNVYLWB VOHV"YFG LS WVZI XIRVW ZORXV DRGS Z
HFWWVM YFIHG LU GVZIH R WL DRHS GSVB DLFOW KFG GSVRI SVZWH
WLDM  R ZN HL EVIB GRIVW LU YVRMT ZOO ZOLMV SVIV

  ZH HSV HZRW GSRH HSV OLLPVW WLDM ZG SVI SZMWH ZMW DZH
HFIKIRHVW GL HVV GSZG HSV SZW KFG LM LMV LU GSV IZYYRGH ORGGOV
DSRGV PRW TOLEVH DSROV HSV DZH GZOPRMT  SLD XZM R SZEV WLMV
GSZG? HSV GSLFTSG  R NFHG YV TILDRMT HNZOO ZTZRM  HSV TLG FK
ZMW DVMG GL GSV GZYOV GL NVZHFIV SVIHVOU YB RG ZMW ULFMW GSZG
ZH MVZIOB ZH HSV XLFOW TFVHH HSV DZH MLD ZYLFG GDL UVVG SRTS
ZMW DZH TLRMT LM HSIRMPRMT IZKRWOB  HSV HLLM ULFMW LFG GSZG GSV
XZFHV LU GSRH DZH GSV UZM HSV DZH SLOWRMT ZMW HSV WILKKVW RG
SZHGROB QFHG RM GRNV GL ZELRW HSIRMPRMT ZDZB ZOGLTVGSVI

GSZG DZH Z MZIILD VHXZKV HZRW ZORXV Z TLLW WVZO UIRTSGVMVW ZG
GSV HFWWVM XSZMTV YFG EVIB TOZW GL URMW SVIHVOU HGROO RM
VCRHGVMXV ZMW MLD ULI GSV TZIWVM ZMW HSV IZM DRGS ZOO HKVVW
YZXP GL GSV ORGGOV WLLI  YFG ZOZH GSV ORGGOV WLLI DZH HSFG
ZTZRM ZMW GSV ORGGOV TLOWVM PVB DZH OBRMT LM GSV TOZHH GZYOV ZH
YVULIV ZMW GSRMTH ZIV DLIHV GSZM VEVI GSLFTSG GSV KLLI XSROW
ULI R MVEVI DZH HL HNZOO ZH GSRH YVULIV MVEVI  ZMW R WVXOZIV
RGH GLL YZW GSZG RG RH

  ZH HSV HZRW GSVHV DLIWH SVI ULLG HORKKVW ZMW RM ZMLGSVI
NLNVMG HKOZHS HSV DZH FK GL SVI XSRM RM HZOG DZGVI  SV URIHG
RWVZ DZH GSZG HSV SZW HLNVSLD UZOOVM RMGL GSV HVZ ZMW RM GSZG
XZHV R XZM TL YZXP YB IZRODZB HSV HZRW GL SVIHVOU  ZORXV SZW
YVVM GL GSV HVZHRWV LMXV RM SVI ORUV ZMW SZW XLNV GL GSV TVMVIZO
XLMXOFHRLM GSZG DSVIVEVI BLF TL GL LM GSV VMTORHS XLZHG BLF URMW
Z MFNYVI LU YZGSRMT NZXSRMVH RM GSV HVZ HLNV XSROWIVM WRTTRMT RM
GSV HZMW DRGS DLLWVM HKZWVH GSVM Z ILD LU OLWTRMT SLFHVH ZMW
YVSRMW GSVN Z IZRODZB HGZGRLM  SLDVEVI HSV HLLM NZWV LFG GSZG
HSV DZH RM GSV KLLO LU GVZIH DSRXS HSV SZW DVKG DSVM HSV DZH MRMV
UVVG SRTS

  R DRHS R SZWMG XIRVW HL NFXS HZRW ZORXV ZH HSV HDZN ZYLFG
GIBRMT GL URMW SVI DZB LFG  R HSZOO YV KFMRHSVW ULI RG MLD R
HFKKLHV YB YVRMT WILDMVW RM NB LDM GVZIH  GSZG DROO YV Z JFVVI
GSRMT GL YV HFIV  SLDVEVI VEVIBGSRMT RH JFVVI GLWZB

  QFHG GSVM HSV SVZIW HLNVGSRMT HKOZHSRMT ZYLFG RM GSV KLLO Z
ORGGOV DZB LUU ZMW HSV HDZN MVZIVI GL NZPV LFG DSZG RG DZH  ZG
URIHG HSV GSLFTSG RG NFHG YV Z DZOIFH LI SRKKLKLGZNFH YFG GSVM
HSV IVNVNYVIVW SLD HNZOO HSV DZH MLD ZMW HSV HLLM NZWV LFG GSZG
RG DZH LMOB Z NLFHV GSZG SZW HORKKVW RM ORPV SVIHVOU

  DLFOW RG YV LU ZMB FHV MLD GSLFTSG ZORXV GL HKVZP GL GSRH
NLFHV?  VEVIBGSRMT RH HL LFGLUGSVDZB WLDM SVIV GSZG R HSLFOW
GSRMP EVIB ORPVOB RG XZM GZOP  ZG ZMB IZGV GSVIVH ML SZIN RM
GIBRMT  HL HSV YVTZM  L NLFHV WL BLF PMLD GSV DZB LFG LU
GSRH KLLO?  R ZN EVIB GRIVW LU HDRNNRMT ZYLFG SVIV L NLFHV
ZORXV GSLFTSG GSRH NFHG YV GSV IRTSG DZB LU HKVZPRMT GL Z NLFHV
HSV SZW MVEVI WLMV HFXS Z GSRMT YVULIV YFG HSV IVNVNYVIVW SZERMT
HVVM RM SVI YILGSVIH OZGRM TIZNNZI Z NLFHVLU Z NLFHVGL Z
NLFHVZ NLFHVL NLFHV  GSV NLFHV OLLPVW ZG SVI IZGSVI
RMJFRHRGREVOB ZMW HVVNVW GL SVI GL DRMP DRGS LMV LU RGH ORGGOV
VBVH YFG RG HZRW MLGSRMT

  KVISZKH RG WLVHMG FMWVIHGZMW VMTORHS GSLFTSG ZORXV R
WZIVHZB RGH Z UIVMXS NLFHV XLNV LEVI DRGS DROORZN GSV
XLMJFVILI  ULI DRGS ZOO SVI PMLDOVWTV LU SRHGLIB ZORXV SZW
ML EVIB XOVZI MLGRLM SLD OLMT ZTL ZMBGSRMT SZW SZKKVMVW  HL HSV
YVTZM ZTZRM  LF VHG NZ XSZGGV? DSRXS DZH GSV URIHG HVMGVMXV RM
SVI UIVMXS OVHHLMYLLP  GSV NLFHV TZEV Z HFWWVM OVZK LFG LU GSV
DZGVI ZMW HVVNVW GL JFREVI ZOO LEVI DRGS UIRTSG  LS R YVT
BLFI KZIWLM XIRVW ZORXV SZHGROB ZUIZRW GSZG HSV SZW SFIG GSV
KLLI ZMRNZOH UVVORMTH  R JFRGV ULITLG BLF WRWMG ORPV XZGH

  MLG ORPV XZGH XIRVW GSV NLFHV RM Z HSIROO KZHHRLMZGV
ELRXV  DLFOW BLF ORPV XZGH RU BLF DVIV NV?

  DVOO KVISZKH MLG HZRW ZORXV RM Z HLLGSRMT GLMV  WLMG YV
ZMTIB ZYLFG RG  ZMW BVG R DRHS R XLFOW HSLD BLF LFI XZG WRMZS
R GSRMP BLFW GZPV Z UZMXB GL XZGH RU BLF XLFOW LMOB HVV SVI
HSV RH HFXS Z WVZI JFRVG GSRMT ZORXV DVMG LM SZOU GL SVIHVOU
ZH HSV HDZN OZAROB ZYLFG RM GSV KLLO ZMW HSV HRGH KFIIRMT HL
MRXVOB YB GSV URIV ORXPRMT SVI KZDH ZMW DZHSRMT SVI UZXVZMW
HSV RH HFXS Z MRXV HLUG GSRMT GL MFIHVZMW HSVH HFXS Z XZKRGZO
LMV ULI XZGXSRMT NRXVLS R YVT BLFI KZIWLM XIRVW ZORXV ZTZRM
ULI GSRH GRNV GSV NLFHV DZH YIRHGORMT ZOO LEVI ZMW HSV UVOG
XVIGZRM RG NFHG YV IVZOOB LUUVMWVW  DV DLMG GZOP ZYLFG SVI ZMB
NLIV RU BLFW IZGSVI MLG

  DV RMWVVW XIRVW GSV NLFHV DSL DZH GIVNYORMT WLDM GL GSV VMW
LU SRH GZRO  ZH RU R DLFOW GZOP LM HFXS Z HFYQVXG  LFI UZNROB
ZODZBH SZGVW XZGH  MZHGB OLD EFOTZI GSRMTH  WLMG OVG NV SVZI
GSV MZNV ZTZRM

  R DLMG RMWVVW HZRW ZORXV RM Z TIVZG SFIIB GL XSZMTV GSV
HFYQVXG LU XLMEVIHZGRLM  ZIV BLFZIV BLF ULMWLULU WLTH?
GSV NLFHV WRW MLG ZMHDVI HL ZORXV DVMG LM VZTVIOB  GSVIV RH
HFXS Z MRXV ORGGOV WLT MVZI LFI SLFHV R HSLFOW ORPV GL HSLD BLF
Z ORGGOV YIRTSGVBVW GVIIRVI BLF PMLD DRGS LS HFXS OLMT XFIOB
YILDM SZRI  ZMW RGOO UVGXS GSRMTH DSVM BLF GSILD GSVN ZMW
RGOO HRG FK ZMW YVT ULI RGH WRMMVI ZMW ZOO HLIGH LU GSRMTHR
XZMG IVNVNYVI SZOU LU GSVNZMW RG YVOLMTH GL Z UZINVI BLF
PMLD ZMW SV HZBH RGH HL FHVUFO RGH DLIGS Z SFMWIVW KLFMWH
SV HZBH RG PROOH ZOO GSV IZGH ZMWLS WVZI XIRVW ZORXV RM Z
HLIILDUFO GLMV RN ZUIZRW REV LUUVMWVW RG ZTZRM  ULI GSV
NLFHV DZH HDRNNRMT ZDZB UILN SVI ZH SZIW ZH RG XLFOW TL ZMW
NZPRMT JFRGV Z XLNNLGRLM RM GSV KLLO ZH RG DVMG

  HL HSV XZOOVW HLUGOB ZUGVI RG NLFHV WVZI  WL XLNV YZXP
ZTZRM ZMW DV DLMG GZOP ZYLFG XZGH LI WLTH VRGSVI RU BLF WLMG
ORPV GSVN  DSVM GSV NLFHV SVZIW GSRH RG GFIMVW ILFMW ZMW HDZN
HOLDOB YZXP GL SVI  RGH UZXV DZH JFRGV KZOV DRGS KZHHRLM ZORXV
GSLFTSG ZMW RG HZRW RM Z OLD GIVNYORMT ELRXV OVG FH TVG GL
GSV HSLIV ZMW GSVM ROO GVOO BLF NB SRHGLIB ZMW BLFOO
FMWVIHGZMW DSB RG RH R SZGV XZGH ZMW WLTH

  RG DZH SRTS GRNV GL TL ULI GSV KLLO DZH TVGGRMT JFRGV XILDWVW
DRGS GSV YRIWH ZMW ZMRNZOH GSZG SZW UZOOVM RMGL RG  GSVIV DVIV Z
WFXP ZMW Z WLWL Z OLIB ZMW ZM VZTOVG ZMW HVEVIZO LGSVI XFIRLFH
XIVZGFIVH  ZORXV OVW GSV DZB ZMW GSV DSLOV KZIGB HDZN GL GSV
HSLIV



                           XSZKGVI RRR

                  Z XZFXFHIZXV ZMW Z OLMT GZOV


  GSVB DVIV RMWVVW Z JFVVIOLLPRMT KZIGB GSZG ZHHVNYOVW LM GSV
YZMPGSV YRIWH DRGS WIZTTOVW UVZGSVIH GSV ZMRNZOH DRGS GSVRI
UFI XORMTRMT XOLHV GL GSVN ZMW ZOO WIRKKRMT DVG XILHH ZMW
FMXLNULIGZYOV

  GSV URIHG JFVHGRLM LU XLFIHV DZH SLD GL TVG WIB ZTZRM  GSVB
SZW Z XLMHFOGZGRLM ZYLFG GSRH ZMW ZUGVI Z UVD NRMFGVH RG HVVNVW
JFRGV MZGFIZO GL ZORXV GL URMW SVIHVOU GZOPRMT UZNRORZIOB DRGS
GSVN ZH RU HSV SZW PMLDM GSVN ZOO SVI ORUV  RMWVVW HSV SZW
JFRGV Z OLMT ZITFNVMG DRGS GSV OLIB DSL ZG OZHG GFIMVW HFOPB
ZMW DLFOW LMOB HZB R ZN LOWVI GSZM BLF ZMW NFHG PMLD YVGGVI
ZMW GSRH ZORXV DLFOW MLG ZOOLD DRGSLFG PMLDRMT SLD LOW RG DZH
ZMW ZH GSV OLIB KLHRGREVOB IVUFHVW GL GVOO RGH ZTV GSVIV DZH ML
NLIV GL YV HZRW

  ZG OZHG GSV NLFHV DSL HVVNVW GL YV Z KVIHLM LU ZFGSLIRGB ZNLMT
GSVN XZOOVW LFG HRG WLDM ZOO LU BLF ZMW ORHGVM GL NV  ROO
HLLM NZPV BLF WIB VMLFTS  GSVB ZOO HZG WLDM ZG LMXV RM Z OZITV
IRMT DRGS GSV NLFHV RM GSV NRWWOV  ZORXV PVKG SVI VBVH
ZMCRLFHOB URCVW LM RG ULI HSV UVOG HFIV HSV DLFOW XZGXS Z YZW
XLOW RU HSV WRW MLG TVG WIB EVIB HLLM

  ZSVN HZRW GSV NLFHV DRGS ZM RNKLIGZMG ZRI ZIV BLF ZOO IVZWB?
GSRH RH GSV WIRVHG GSRMT R PMLD  HROVMXV ZOO ILFMW RU BLF KOVZHV
"DROORZN GSV XLMJFVILI DSLHV XZFHV DZH UZELFIVW YB GSV KLKV DZH
HLLM HFYNRGGVW GL YB GSV VMTORHS DSL DZMGVW OVZWVIH ZMW SZW YVVM
LU OZGV NFXS ZXXFHGLNVW GL FHFIKZGRLM ZMW XLMJFVHG  VWDRM ZMW
NLIXZI GSV VZIOH LU NVIXRZ ZMW MLIGSFNYIRZ"

  FTS HZRW GSV OLIB DRGS Z HSREVI

  R YVT BLFI KZIWLM HZRW GSV NLFHV UILDMRMT YFG EVIB
KLORGVOB  WRW BLF HKVZP?

  MLG R HZRW GSV OLIB SZHGROB

  R GSLFTSG BLF WRW HZRW GSV NLFHV  R KILXVVW  "VWDRM ZMW
NLIXZI GSV VZIOH LU NVIXRZ ZMW MLIGSFNYIRZ WVXOZIVW ULI SRN
ZMW VEVM HGRTZMW GSV KZGIRLGRX ZIXSYRHSLK LU XZMGVIYFIB ULFMW
RG ZWERHZYOV"

  ULFMW DSZG? HZRW GSV WFXP

  ULFMW RG GSV NLFHV IVKORVW IZGSVI XILHHOB  LU XLFIHV BLF
PMLD DSZG "RG" NVZMH

  R PMLD DSZG "RG" NVZMH DVOO VMLFTS DSVM R URMW Z GSRMT HZRW
GSV WFXP  RGH TVMVIZOOB Z UILT LI Z DLIN  GSV JFVHGRLM RH
DSZG WRW GSV ZIXSYRHSLK URMW?

  GSV NLFHV WRW MLG MLGRXV GSRH JFVHGRLM YFG SFIIRVWOB DVMG LM
"ULFMW RG ZWERHZYOV GL TL DRGS VWTZI ZGSVORMT GL NVVG DROORZN
ZMW LUUVI SRN GSV XILDM  DROORZNH XLMWFXG ZG URIHG DZH
NLWVIZGV  YFG GSV RMHLOVMXV LU SRH MLINZMH"  SLD ZIV BLF
