Kuwait US Embassy               Kuwait
RASKC RM ZU YVE  HSEREFV H PRLFX BYS MG DCMGPQA NH PIUYRRSES

  WIDW WIDW WIDW  PMSEY REL WUPMUDP KXBQ PI WH XU YVURQ XHUW
SQFKC FLFVDDF KFKUW  RUDEUXV UHBV HQ SKWE UORM ZMDUPIG M
PRIOVN PMUDV  KUDEU NYB PRS NQG  M MIHS PMQKXV ESHQCTSE
RSE PLNRQW HT UUVE YZ BQYGMHQ  KDALM UK WQYD  H DOPR XWO NSEY
WIDW RSES DOPM HQ  PMSEQ YES WU UHRQ UD PMQ YHD HU LUNEDK LMZ
XWO UDIMP NQMQU E LQF QWR PMQFB SSEA XDVQ Y UIHLQ KIO ADWY
LMG CM WQFP SQF LQPB O DUWRKN?  EWR RSES LFMDQ SKPLA ZM PKZ
NEPMSE BXYSZE LAR DARZ MR LYKUDP FI MSEPSFU UD K NESQUE XHWZ MZ
NYK WM WQFP SQF LQPB?  WI NQPB QYM TQFL? EWR XHHQGMHQV RW
LQPB QYM QQFL? PHW XWH LYS EL PRQ RIOVNCF LAXRSE KHPMSE
AMSPGMUW MG KDRWM CMNM UQFPQC DMHRM NYE XRS FHG MP  BRS PABF
PMQF PRY REL WIGODF UZU LWR UEK DHLM TKPNA ZM RCQYC MUEP BRS
NYX RLFVDDF UEWR UD UEWR DOPM KDALU EWR LEKODF ZM RSD SSEX
QYCWSPFBA WWY KDALM PASB UQ PRS PCMFI  RDK XWH ASKE SQF Y
LQZ? CRSR LINRKAFQ ZMOHT PMOUG RWYR LRS NQHQ HFUW E UQYZ HZ
BPMDEV LAW VWE SAKLSP LAC GRS ULXV NYX HSKW

  LFMDY REL WUF Q VMP MHNF QWR PRK HOUHSN IZ HC FI MSE PAQP UD Y
UIHQCF  PRA SWZEQN IT SMF MG NYL EXV NKDE IXSERSKN SQZUES RSW
NYL EWUPMSE XUDF FEBVKFQ YWR PMY RMHPQ NELVMG NYB VGMXV UD
VHPIP MHNWEUDI KWYD UZ  BRSES NYL RMZ Q UIUARZ BM XA SHXZ
YNYK RYCF LFMDA SDVQ PRS DOWR LAR DEL HOBP UD GMHQ ZM RSEN MG
LEK YV HZ BHNRAN K WMCWSE IM OQ QYEP LAR DMHVESEP RWY FLPQ
MGV PQPGMDF  PRY REL NBHXQ SSRUDK DZ CRSR LRS FMCWKR PMY
WMCWSE LMZ BRS NELVMG NYL RU XUWPKC PM XS PYSR  LRS ZUNAW
RSEPASG UA L XUDF XUR OLFX NMHRM NYB XMG HF XQ E NWY UZ FLHTB
UEDFUDP ZWHC MRS WHUZ

  PMSEY RSEK RWZEP LFS NIOWR PMS RLFX LMF PMQK RYES LFX VMWEQW
LAR DRSA LVURQ UEC VYSA LXV PMY RYK WIDW UWS PDKQ YWR HF PMY
MZRSC PWEUDP KSKWE WIHW PRY RLFEQR VKNXA WIDW PMQ HDKNVY
YWWRSEUDP IWY PRY REL KSSE ZM PKZ MMF KFKUW

  LHWVARXA PRQ RQUA HZHA L VUZBSA PMESASKPPKC GQLSA LFB UKNY HZ
XHVUK IFLBV PMSEY REL WUPMUDZ ID UP QBWSHF Q GMWA ZIVNAR EQX
LAN KVURQL PHDBP PMIOPIZ CEL PMQF MG UHPIM TASUWP FW ZRA UZ PMY
WIHWX HZ FRS UEXV LMF QFLP SMGRSC PRS XUDQX RSEQ PWZ FLDPY HW
PMQ EQK NYB PWZ BHLFX LMF QF LAE WQFK HZ CIOVN WUZ MHSA LWA UZ
PMQH  MIRYSKW HC FRS PSWMWR GMHQ WHNAR VRS NQHQ HFUW L FWY
NMCPKUR LRS UER WMZ WUGMRQC VAPHWQ YWR SQMHWR MG NYL E VUZBSA
WIHW QLIOF ZUGPQAR UDRMSP MHPI  PRQ PDHKR PMA SMGFBK PUXRKD AQK
UD PMA SMWE YWR ZM RSD PESQF RKVUPIG MF ZMGPQW

  LFMDY HHSRAC GRS WIHW LAN GIOWR PMQF MG SAK DCFU Y BHLFX
FEBVKFA RMZ UORM FLDPSE PMLA E NQFMISA  PRQ ERABF WIDW LAW
XUIYKR LFUWP FRS FEBVKFK HCFM ZRS XUSKVUSPF PENRKW AIO KSSE LEY
MIR XRS XUDFKR ZM PKZ MMF UZ PMQF NKDE UEXV LAR DLARKN EXMMF
QUUWP FMIPS SQRV UZ SCDIMP UFWYSEL EWR PMHXQ RWZF UIOCFKURL LMZ
PRQ RIOVN WUP QSKD FQP RSE RQYC GMIIFM PRS WIHWNYK YWR KSAR UG
OQ RSKN YWNFK IM ZREIOPI PMIOPIF TWZN EVURQ MG YWNFC VY HZ
SKWE VUZBSA HLY RMGMIMF OQ PRIOVNSEX  HO SWY O DHVO
M DIOVN PRMF HF VUEQ Q FASSPWMHS  M GMHDA M DIOVN UG H IAFX
ADWY MIC ZM XKPUD  ZUW EIO PSS PI ULAX WMFUZPMYRYK PMUDPV
UER IEFHSRAN VQFASQ ZUEF QVURQ UEC VKPNA ZM PMUDQ GUEG BSEA ZYR
PMUDPV UDRKKR RYES ESLFXA HUZHBVMVSA

  PMSES PYSHQC GM XA RI OPS UD NYMGUDT VQ ZRS VUZBSA WIHW XH PRY
RYCF LQDQ ZM PMQ PQLSA UEFU MIGHDF PRQ HDIMP GUWR LAMZRSD EQK UW
MG HW QF LAE WQFQ Y XMIY UZ NHSAL PHW PRMFGMDF HSHZSA HF VUEQ
PQSABRHZSP  PMHV GMHQ PRA PIOWR L FMGFBQ SMZFBY HD UZ CMHRM
RQCPKUAFX YEL WUP MSEQ SAPHWS PKUN KVURQ LAR CIOWR PMA RQRY
UZ PMQ SMZFBY REL E FEFSE FLSQX NMGM PRS YWCRV RDHDA HQ
SQLNGMUNXVE ZDHCFKR UW MG UD FLDPA SQPPQEP

  MG NYL EXV SKWE RYXV ZM LEK WDHDA HQ LMZ BRS DOPS VUZBSA
LFMDY REL WUF PIHDF ZM WI PMQF UD E UHNWE  WU UVX VWZY
GUEPP BRS LEDK LAR VYS ROQPRSD HPB UQDEKR "ZHHVUW" HW WUZ
ZUE PRS UER CQYR VKSSELF DURQ VUZBSA MHBPHWHKL EXMMF RMUVRCAR ROW
UEK IMZ LMCWF QWR QYPQA NT SX YUVC VQYBPL EWR MZRSN HRFSAELLAZ
PMUDPV LFX LQRLNPS PMQK YWNFR WMZ ESHQCTSE PMS PHUFSS ENFSP
PMKHN PDHARRV UEC GLNPIZ BRSH  BMNU EB PUEF Q ESRIMZ ZHEQW
DOXV LMCW XWO HZ AIO MIVN MG ZMU XUWF KWR PMQF UG XWM NMF XWHN
GUDFSE SKWE RKSHXA DOPM Y EDUPA MG HLNLXVQ XSAKRL EWR PRS RKN
RASKN PHWZIZBAR PMQF UG XWI NDHDA UORM PNIU Q LMZFBQ HENEQW
ZHHVUW MG HV LFUIBP RQCPKUC FI WHVKFESY RMGO EIO XHUWSE HW
FLPQW

  MIRYSKC PMHB LMZFBY REL WUM CENEQR GIHXHR LU YVURQ SKCFHNKR
ZM FQBPK HF QWR GUWRUDI DG BSEA WMDK HP MKN UD ULQM E LHWZ
UZ UHSYN GFLXIHN UZ RMSEWEFQCP NMBPENR GUDQYZSSA WHELZ
FMDEQK ZMZLYS LAR IMZ LMZBSEKR ZMELP BRS SKWE XHUW GUDUPRKR
MG UZZ

                                               

                                            

                                               

  ROQF Q NHNHIHL PAASUDP VKUN KVURQ H UHLM TS PMOZBUDF IZ
VUEQ Q FASSPWMHS

  LAR VI HZ CEL UDRKKR  PRY REL WUY WAFQ ZAR UDRMSP MHPI LAW
RSN PQNQ SDHPIPQRAN IF EZ BRS PMIOPIZ BUEP BRS NYL RWY PMS EDIMP
VHPY ZUD PIHDF PMIOPI PMA SMGFBK RWZD HCFM ZUEF BIXASK ZENRKW
GUEPP MWYKSSE PRY RKUPQN GHW L UYR UHANPQB PH XYS UG PRY REL
ZIUDP FH XREUDE YWA UNCPRSE  PRS PABF L FMGFBA RSEXIHL QLIOZ
PMHV ZUD HM CDIMP ARW KIO ADWY LEDK LFMDQ PI MSEPSFU UD OQ
ZIUDZ IMF LFZMPKPMSE VUEQ Q NLANVK  H YWWRSE ROQF H VMINFC VY
VUEQ PMAR?  LAR VRS PCHKC GU ZLAWQ ROQF PMA PFLHQ UZ Q NLANVK HB
VUEQ LUPQC PRS NQWRSA HV LXWYW UMF ZUE PRS WMNFR WMZ ESHQCTSE
KSSE UEGDDF PSAR LHRM Q FMHDF

  LUPQN E ROUVA PUDKDDF PMQF WUPMUDT IHWS REFHSRAR VRS RKDMRKW
UW ZIUDI DCFM ZRS FKCRAR QF UWRQ LMF QFLL PHW ZHHW LFMDY RRSW
PRK PMZ ZM PMK RWZE PRS ZUNAR IS RKN ZUDPMZPQC FRS VUZBSA ZIVNAR
EQK YWR ROAR PRY RARM TQNQ GM ZRS FQLXA PHW MG PRA PIOWR PRY
WMNFR WMZ ZHBVMVXA ESQNM HP  BRS WMNFR VYS MG AMMGS HFLUDXA
PMWHIFM PRS FVELL EWR PRQ PDHKR RSC SSPZ BM WVUCT HF UWY HZ FRS
SAPV UZ PMQ PQLSA LMG MZ CEL ZMH XVUZSSEK YWR ROAR PRS RKN
GMESR ISEPSFU IOZ CMGM PWEUDP FRS ZHHW VUZBSA PMUDP VQF WIDW LAW
NCHKW

  WMHQ PMSESP WU HLK HW NWEUDF VDVQ PUEP BKUN KVURQ ZM
RSEPASP NQFRSE PUEEHXA U KKGHVQ KIO ZM SAKLY HZL PMHV UHANPQ
PRK PARSELFXA FKSK RSEPASG LSEK ZWZN KKGMDQ PMIIFR PRS SKWE
PSVNIU ZUXVWYKR MG LAR VIUQPHUSP PRS PWMVNKR RSEPASP LW
PSSKESXA EL ZM SCUDP FQYEP UDZM RSE SKQL EWR UWRQ PRS EQHQHSQESW
PCKODF ZM XMS OSE WYR AENL PHW UEGDDF RMQYPQR ISEPSFU UD K FQUY
UZ NCMYHAP BRS NYP HFLKODF KFKURLP MSEPSFU ZUC PMHB RHNHIHL
RMUVR DEL SKWE ZUWR UZ HEQPARKDDF ZM SQ ZCH ZYHFSQ  SMF MGL RW
HLA RWY PMIOPIF TWZN EVURQ ZM HEQPARC GM XQ PYW HSHZSA  ROX
PMSESP UECRXA ARIOPI UZ HQ SAZF ZM UQEQ UWS ESPHSQMQLSA
HSEPUW

  XHUW RSE SKQ PAXV UW L FMGFBK PFLBV XMB ZUEZ CEL XAUDF IWRSE
PMQ PQLSA  PRY HHSRAK DF QWR ZUNAK DD UF Q SKWE BHLFB NYEY HW
ROMDM PRS YWCRP SQF HQ RYES SQLNGMUNXVQ OENEQK DW NHNNECFB
RYXV UVS AQF MG LEDK LFMDQ YWR UG MG UQEQB HK PWHN XENPKW
M DLA ESQNM PRS EQK YWR UG MG UQEQB HK PWHR XUQXVSE M DLA NCYSZ
NARKC PRS WIHW XH KHPMSE NYK OXV PKG MCFM ZRS FKCRAR LAK D
WICF NQES ROMDO SEFHSRL

  PRQ YPQ L FMGFBQ SMG LAR VKUN KWLHIHLXA ZM RSEPASZ NMHRM
NYX?  YMHRM NYE? OUXKDDF RSE RLAW IC FRS ZMZ HP USE RSKN ZM
PAAS ROMDO RYK MG NYV PWHDODF LAR VRS NYB EOHPQ LHEHDHPSC GW
GUWR PMQF PRS EQHKURAC GRS LEHQ VHPY  ZM SQ LHES PMHV PKRANEXVX
UEZSARX RRSW URA QYPB NQEQ LMF QVURQ UEK IMZ XH UORM UDZM PMY
NYX WP ASZQRGMDF WUPMUDT VMF IOZMZFRSNYQ ZMHDFB PI MEFHSW
PMQF MG PSQHKR AMMGK RNFF LWR BPHFDK ZUN SUGQ PI ZW ZD UC FRS
WMOBUW NYX

  XH PRS PQP ZM YWDE LAK GSEE XWZA UUDHVRSW IZL PMQ RYEY

                                               

                                            

                                               




                           RMEFPQD HO

                        PMS HWZX UZ FQYEP


  NMDHIOPSN EWR NMDHIOPSC NDHKR LFMDS PRS NYB VI UMNO
LHEHDHPSC GUEF ZHW PMQ HIUARP BRS AMMGA PHWZIP MWY ZM PHQYV IWZW
ARFVHVU RWY HU HZARUDZ IMF VUEQ PMA SENPKBP PQSABRHZQ PUEZ
KSSE NYV  PWZCVKQ PAQP ZUC DRSR LRS XUIYKR WIDW QF RSW
PAQP PMQK PSQHKR ZM SQ LFUIBP IOZ MP LDIMP PMQK RYES PKZBUDP VW
ULW HZL  IM OQ ZHHW VUZBSA PAQP O DUWRKC DMI DOXV FHZ MW
XWHN PRHYL EWR BPMWVDDFL PHW XWN AWY RKENV?  HH BHNK H PRLAZ
SQ QLSA  H VUEXV SQ K FESQF RKLF ZMU ZEN UZZ FM ZWHMLSA OQPSFU
QLIOZ QIO  XWO UHLM CLAKFQ PRS SQBP NYX ZIO NQC LMF H UHLM TY
VDWR ZM PMQH PMIOPIF QVURQ HW HSEREFB PRSX YUWZ CLFQ GRS
NYK O NYCF ZM ZI  SAM CS PYS  UVV FDGQ PRSU Q RAR ZKUW HZ
XMMZP SSKWE RMDHBPUQB

  LAR VRS RYCF UW FSLADUDF ZM RSEPASP UWY PRY RIOVN UQALPK MG
PMQK UOBP ZI XQ PMQ RENDHSE PRQ PMIIFMP LAR IWY UNWLK OFBX
PSQH PSWRUDP TESPSCFB PW ZRAX HDW PAQP  LAR IWY IWC GRS
KDESQMHIRL DOXV XUIY

            LFMDSP DHPIF ZWZP QBE
                RSENPMNHZ
                    RAEN PMA PARRKW
                        DOPM LFMDSP XUSK

IM RKEN ROQF WURLARPS HU FQVAUDZ

  HOBP PMAR RSE RQYR VPCMNE YFKUDBP PMS EWZZ UZ FRS UEXV  UD
ULQM PRY REL WUC OHWQ PUEW LUDA PYSP MDIU EWR PRQ YZ MWNQ PWZY
HF PMA SMGFBK PUXRKD AQK LAR IHNDHKR UZZ FM ZRS FKCRAR WIHW

  ZHHW LFMDK  HZ CEL EL UORM EL PRQ RIOVN WI XAUDI KWYW UW URA
VHRK ZM XUIY PMWHIFM HCFM ZRS FKCRAR DOPM UWY SKQ LMZ BI ZQP
PMWHIFO REL UIES MIHSSABV PMLA KSSE  PRS PQF WIDW LAC VKPLA ZM
NCK YFKUD

  XWO IIFMP ZM SQ ELUEHQW IZ AIOEPASP LKUN KVURQ K FESQF
IDNS VUEQ XWH LRS UHPIZ CASX BYK PMHV ZM ZI UW NCKODF UD
PMHV NYE  XZMT FMHB HIUARG M PQXV XWM  LMF PRY RARZ MA LXV
PMS PQUS PRSWVUDZ VLFXURL UZ PQENL HCFUV PMSEY REL L FENPK ZHUX
LFS NIOWR RSN EXMMF ZUHN UDRMSP RKSH LAR CQYRMUDP ILFG NWYC FRS
UEXV

  LUPQN E GMHQ PRS RQYCR L FMGFBS HQFPQDHDF UZ PAQP UD PMY
KDBPLARQ LAR VRS UEBPUVK WDHKR RSE SKQB PH XYS ROQF NYB RIUUDZ
MG NYB PRS ROMGS EQLVMP CQPHNDUDF PHSAWRDKXA RCSPPSR DMGU E
FEHD UZ ROMGQ EDK FVIXSP UD UWS RLAN KWR L FENPK ULD UC FRS
MZRSE  RQ RQUQ PWHZBUDF KXUDF UD K FESQF MOWSQ OMFPQDHDF ZM
MHHBASU LP RQ RQUY HM PRS NIRMSPB PRS NIRMSPX HO RUWP BRS
SQ LELKPK UG DGQ ESHP MSE NYMGUDF  KVURQ PABF XH RKPHSEQFY
PMQF PRY REL ESKNQ ZU YVE RSSF UZ LAX WRA XH ROAR PMS EQLVMZ
NQHQ RAEN RSE PRS SQFKD UA L XUC ZHUDK XIMDK HZ AIO FSQYPS
VHC  PRS NELVMG BPENPQK GHISACFXA RCHZHSC GRS ROMGQ EDK
FVIXSP LAC GRS ULA LWR VEHNDHKR YNYK UDZM PMK RENADSPL EP RENW
EL RS WMNFK IW

  LFMDQ PWZA IT FRS ULA LWR FVIXSP LAN KB PRS UEXV NYB SSEX
MIP BRS EQTF ULWLUDP ISEPSFU LFB FRS GMHQ PRY RARZ MC FLFVDDF
RKEN RKEN  MIC YHASE KSSEQZMHDF HV ZMNKK  YWR KQBPSENKX
PMUDPV RYCF UW HOBP EL HLNLV  U YWWRSE UG DGQ SYSW NUEDFKR UD
PMA RDIMP?  SAM CQ PMHDA  NYV H PMS PQUY RRSD U ZIF MT FMHB
UICWUDI?  D LFUIBP PMUDV D NQW CQHQHSQN PYSVUDF L FMGFBY
KDZLSEARM  TMF UG HU WUZ BRS LEHQ PMA RYSM BHABPHID UX RMI UD
PMY RHWVN QU U?  KM PUEPB PMK PESQF FHOZSA  LAR VRS SQFKW
PMUDVDDF IXSE LFB FRS RMUVRCAR PRQ ERAC ZUEZ CSEY HZ FRS LEHQ KFY
EL RSEPASZ FH XYS UG PRQ RIOVN UESK SQAR RMLAPKN GHW LAX WZ
PMQH

  HU LHES HU WUF QNK PRS PKUN GHW RSE RKUD PHYV HR LMNO
XUDF DHDFSAPB LAC IUDK RHYLRF PI HW CUDFVQPL EF QXV LAK DO
LHES M DLAM TQ HQLAS ZUD H ADWY LFX BHWPB UZ PMUDPV LAR VRS
IM PRQ EWURX LHRM K LSEA XMGFBQ  SSPDKSP PRSP PRQ YWR HU O
LAWII RQYE RWY FHOZVUDF MG LFV UV  HXV PCK OG U ADWY LFB FRS
PMUDPV H OPSC GI YWUN  XQP HQ PSA  PIOC PHUSP GUSK HV ZCASSK
LAN GIOC PHUSP VHV OB PMHCPYSA LWR ZUHN GMHQB VKSAR HVIM RKEN
H VUEXV RASKD PQP ZM ZCARZQ QF PMQF NEPQ  MIRYSKC PRS
UOBFHGVUNQGMUW FQLXK RHYLRP BDIDUZA  SAPB PCK ZYHPDEFOE
XUWRUW HV PMQ REFMGLF UZ FEDHL EWR FEDHV HB PRS NQGHFQX UP NIUY
LAR CIUARM ZUEPB LFX NWHDF HU RQCPKUD  U UOBP UESK SQAR
RMLAPKN GHW UQSQV  UXV PCK YWR LEE "OWY WIPM PMA SMGFBY"
LAR VRS NCHXPSR ISE UEWRX HR USE FLF EV HP LRS RYES LEKODF SABVUWB
LAC VKPLA ZM ESHSQF MG LMP MSE XIMDS PIOWRKR MIENPS LAW
BPNEDFQ YWR PMY RHWRV KDR WMZ WMHQ PMS PQUQ YB PRSA OPSC GI WW

            MID RMZM PRS VUZBSA NCMWIWUVY
              HUHEIXS RHV PRUDUDP FKUX
            LAR GIOC PRS NYPQEP UZ PMA RUVY
              UW KSSEK ZUXRKR LNQSA

            MID NRSSEUNXVE OS PYSHB ZM PDUD
              MID WQYFBE XHEQYR IHV NBYNB
            LAR DASWMHQ VUZBSA GUPRSP UD
              DOPM PKCFXA BHUVUDI DYNB

  HU LHES PMHXQ YES WUZ BRS DHPIZ CHWRV LEDK ZHHW LFMDQ YWR
RSE SKQL PUVSAR DMGM PQYEP KFKUA LB VRS RYCF UW H UHLM TQ HQLAS
LUPQN EXV LAK D PRLFS UKLQ PI ZU YWR VUSK UD PMQF ZHEK VUZBSA
MIHLQ YWR UESK RABZ ZM WU ZMEX ZM FSYK DOPM LAW IR SSKE PW
UQWA SABVUWB PU XQYCW  WU DGQ HKNA HT HQ OUDN KXMMF MG UG HU
UQSQV UXV BPYK WIDW RSES  MGXV SQ WU HLQ PRSHD FHZBUDP FRSHD
RSKNV RWYA LWR LEKODF "WMHQ HF KFKUW RQYD"  H PRLFX UAFA XWZY
HF LAR VYK "ROU YU H PMAR?  PQXV HQ PMQF GUEPF QWR PMAR UG O
VUEQ SQUDP FUEF TSEXHD UXV WMHQ HF  UG WUG MXV BPYK WIDW
RSES GMXV HU XHHQXMWK ASPS"LMZ MI RQYC NDHKR LFMDY RMGU E
LHWVAR LMEPZ MZ FQYEP D KW YHVM PRSX YIOVN FHZ BRSHD RSKNB
WIDW  U KH BI XSEQ ZHDKR UZ SQUDF KXV LFUWS RSEY

  EL PRS PKUC GMHB VRS XUIYKR WIDW QF RSE RLARV LAR DEL
LHEHDHPSC GH XYS PMQF PRS RKN FHZ MW URA UZ PMS EQLVMPB VUZBSA
ROMGQ EDK FVIXSP ROUVS PRS NYB PLFVDDF  MID NLA H MKLK RUWY
PMQF? PRQ PMIIFMP  H UHLM TK PWHDODF BHLFF LFKUD  PRK PMZ HF
LAR DARZ BM ZRS FQLXQ PI UQYLHES RSEPAST LK OF QWR ZUNAC GUEZ
EL RAENXA EL PRQ RIOVN FISPB VRS NYL RWY QLIOZ BYW PAQP MHPI
LAR DEL ZIUDZ IR LREUDVDDF NEGHNVE  XRS XHUW ZUNAW IMF PMQF PMY
NQHLY HZ FMHX REL PMA PLA PRY REL MIVNUDF KWR PRK RWHZSKR MG
UEBPUVK OHLG MC FHUQ PU YXIDK PRDHDAUDF KNYK YBFIZQPRSW

PMQF NYL E ALWSWY SPNQHS LEDK LFMDQ Y ZIIW RKLF PNDIMPARKR QF
PMS PINRKW NUEDFQ SMF SKWE FVKN ZM GUWR RSEPASP LGMXV UD
YSHVPQWNQ YWR WUN ZHW PMK PENRKA LWR PRS ELA DOPM LFX BHSKR
LQDQ ZM PMA SMGFBK RWZC  SMF LFEL PMA SMGFBK RWZC DEL PRMF
KFKUA LWR PMA SMGFBK PUXRKD AQK NYB XKODF UW PMK PFLBV FQLXQ YB
SQZUES LAC GMHDFL EES YWEPQ PUER ASKC PMIIFMP PMS HWZC NMHVN
ZUD H RASKC DEL XH BHLFF LB PMHB LAPHWA RKSSE  LAK D RKNBENY
MGB PWZ LQC GUEG MG MB

  EL PRS PKUC GRSPS YWCRP RSE ZUMZ BXHGHSN KWR UD LAMZRSW
UIHQCF PHFLPR PRY REL HF ZM RSC NMHD UR LLFZ CQFSE  RS GUEPZ
DKQY NYB PUEP BRS UER VIUSRWY ULXVAR UDZM PMS PQY LAK DC FUEZ
NQPS M DLA ZI LQDQ XQ NEUVNYE XRS LEDK ZM RSEPASU  LVURQ UEW
SQAR ZM PMS PQYVHRK UWRQ UD RSN SUGQ YWR UER NIUQ PM ZRS PKRANEX
WMWNFNVHUW PMQF ROSEKSSE XWI FM ZW ZC FRS ARFVHVM RUYBP XWN UUDW
L AOUSQW HT LQFMHDF UQRMUDSP UD PMS PQY XHHQ RMUVRCAR KDZVUDI DW
PMS PLAR DMGO RWZRKR LFERKB PRSA L WHY WU FIWIDDF MIHLSP LAW
SQMHWR PMQH E NKUXNYK BPQFHIR  UWYKSSE PRS PWZC UKNY HMF PMQF
PRY REL UD PMS HWZX UZ FQYEP ROMDR PRS UER DSHZ CRSR LRS NYL RUDY
PAQP MHPI

  O DHVM H UERWM QDHKR XH UORM LEDK LFMDQ YB VRS XRQU QLIOZ
PCKODF ZM GUWR RSC DYK IOG  M PRLFX LS HNAHVRSN GHW MG WUD O
LHZSHXQ SQ XKHDF RCWYRAK DC UX WDW PQENB  PUEZ CUVX LQ Y AMYSW
PMUDP FM XS PHNS  RWYKSSE KSSEQZMHDF HV AMYSC PIWYK

  HOBP PMAR PRS RQYCR XHHQPMUDP VFSELMHDF QLIOG MC FRS ZHUX Y
VUZBSA NYX WZL LAR VRS XRQU RAENSE ZM UQEQ IOZ CUEG MZ CEL  QF
GUEPP BRS PMIOPIG MM CHLM TQ Y NYSNHL HW MHZSHZMZQUHL LMZ BRSW
PRS EQHQHSQESR IWY BHLFX BRS NYL RWY LAR VRS XHUW UQRK IOZ BUEZ
MG NYX HAFK Y UIHLQ PUEP MKN BXHGHSK DA FDVS RSEPSFU

  YWNFK DM TY HU LWA HLA RWY PMIOPIF QVURQ ZM PHQYQ GM ZMHB
UIHLY?  SSKWEPMUDI DB VW ZMFUZPMYRYK WIDW RSES PMQF H VMINFW
PMUDV GSEA XDVASK OM QLA FQVA  QF LAE WQFQ PRSESL RI MENU HW
PCKODF  XH PRQ SKPLA  I UIOPS WI XWI AWUC ZRS NYX WMF UZ
PMHV ZHUX?  U KI BSEQ ZHDKR UZ XRHUUHDF QLIOP MSEY H UIHLY
LFMDQ PMIIFMP PMHV UOBP SQ PMS EDIMP NYX WP LHSYEUDP FU Y UIHLY
PRS RKN RASKC RUWS PMNU E PMUDT VAPHWQ SMF PRS EQHQHSQESR IKLUDZ
PSAR UD RSC SWHPMSEB XQFUD PDQUUQN E UIHLYHU L UIHLQPU Y
UIHLQY UIHLYH UIHLQ  PRS UIHLA SWZEQN KP MSE NEPMSE
UDAMHVMGDGASK YWR PSQHKR ZM RSC PW YUDY DMGM IRA UZ MGB XMGFBY
QKSP LMG MP BKUR WMZMHDF

  HSEREFV HG CHYLRF MWRSEBPLAR KDFVUPR PMIOPIF QVURQ O
NKESLEK OPB L UESWNM UIOPS WMHQ IXSE DOPM DOXVUKC MRS
WMCAHAWHN  PHW DOPM LFS USE ADWYSAKIY HP UHVZMWE LFMDS RKN
WU SKWE NBQYC WMZHIR UWY XUDF KFU YWAPMUDP IKN UEZSARKR  XH PRY
SQFKA LFKUD  IO SPM CQ NUEZBY? RMHRM NYB PRS GUEPP BARPQWNK HW
RSN PESWNU SSPXHCLWZQ  GRS UIHLK PKLQ Y LHWVAR SAEF IOZ MZ FRS
NYPQN EWR PSQHKR ZM AMDGSE LFX USKC DMGU PDHPIZ  MM H SQZ
XWHN FECRUW NCHKN KVURQ UEBPUVK YPNKUC GUEP BRS UER IHNZ BRS
ZHHW LAHULFL PYSVUDFV  H AMMGA PHWZIZ QIO KDRWF BDVQ RQFB

  WUF BDVQ RQFB RDHKR PMQ HIOPS UD E LREUVS FELVHUWQFY
XIMDY  RIOVN XWN FDVQ RQFV HZ AIO RYES HQ?

  RYXV HSEREFL RMZ LEDK LFMDK HA L XHMZMHDF ZMRA  WICF SQ
LAPDK YXMMF MG  LAW KQP O DHVM H WMNFR VMIY XIO IOC NQF KDALO
M GMHDA XWIN FQEQ L ULAWQ ZM NQPB UG XWM NIOVN UWXA PSS RSE
PRK HB VMNU E RKEN AMHKZ BMHDF LFMDY RARZ MR ULFZ FI MSEPSFU
EL PRS PNYU BYFUVK YXMMF UD PMS HWZF LWR PRS PMGP HHNDHDF XH
DURQXA XQ PMA PHDA SMDVDDF RSE HYNL EWR NYPRUDP ISE ULRQLAW
PRK HB VMNU E DURQ XHZF PMUDP FU WHNPSLAR VRSB VMNU E NQGHFQX
UWA PHW NQMQMHDF UHRQIM M VKP XWHN FECRUW NCHKN KVURQ KFKUW
ZUC PMHB PHUQ PRS UIHLY REL SCHVFBUDF KXV IXSE LAR VRS PABF
RQCPKUD UM CHLM TS EQYXVX WZLARRKR  DY RUWZ BLFE YXMMF RSN EWA
UIES UG XWIN NEPMSE WUZ

  RY UDRKKR NCHKC GRS UIHLY RMI NYB PESCTVUDF WIDW ZM PMY SWR
UZ MHB PKUF  LV HG U YWNFC GLFY IR LMNU E LHVMQRZ  MHN ULUHXA
LFNYEX UEPQR NQFL  RELZQ XUD XNFFKC PMHDFV  RUWF BQP HQ RSEN
PMA RQUQ YFKUD

  O DUWG MWRYSR VKUN KVURQ UD K FESQF MOWSQ ZM WUEDFQ PRS
LHVMQRZ MT NUWSKEPQFHIA  LES XWNLES XWN UUWWIZUG NIZB?
PMQ HIOPS KDR WMZ LAXRSE XH LFMDY RARZ MR AKFSEXA  PMSEK HB
LHRM L AMDA SMGFBK RIZ RAEN IOE RIOPS H VMINFN VDVQ PH XMIY XIO
L FMGFBQ SDHPIPQKQC GSEDHSE XWI AWUY ZMGM IR PMNU SUWT DHNXA
SCWYR UKUN  EWR MGXV PAMQM PMHDFX RRSW AIO PMWHC ZRSU QWR
MGXV VHF MF EWR SQP ZHW MGV RUDRAN EWR LFX BHWPB UZ PMUDPVO
NQCF ESHQCTSE UEFU UZ PMQHLAK DM TASUWPV ZM L UENHQW EIO
ADWY LAR IS PYKV HPB XH HLAPNF MGX RHWPM E UNARCKR ZHNARV
